Recipe Name,Cuisine,Servings,Ingredients,Cooking Instructions,Notes,Diet Categories,Category,Total Prep/Cook Time,Attachments,Rating (Julianna),Rating (Taqqui)
Cacio e Pepe,Italian,3,"  pepper to taste,4 oz pecorino romano,12 oz pasta,  salt to taste","* Traditionally made in Rome using tonnarelli 

Prep:
Weigh out 12 oz pasta. Measure 4 oz pecorino romano (aka cacio) in a mixing/serving bowl.

Directions:
Bring water to a boil in a large pot and season with salt. In order for cacio e pepe pasta to not be sticky, we have to make sure we drain the pasta when they are VERY al dente. Reserve 1 cup of the pasta water when draining.

Meanwhile, crack some peppercorns with a knife and heat them in a deep pan with a ladle of water from the pasta pot for 3 min.

Add the pasta and 1/2 cup of the pasta water to the pepper broth and cook them together for a little longer.

Meanwhile, mix 1/2 of pasta water with 4 oz. grated cacio to make cacio cream.

Once the pasta is cooked (it still needs to be al dente) we can carefully mix it in the bowl where we’ve prepared the cacio cream.

Top with extra cacio and black pepper to taste and serve immediately.

** ""The traditional preparation calls for mixing cacio and water with the drained pasta, but"" it's harder. If not done skillfully, it could cause clumps to form.","Guide: https://www.lacucinaitaliana.com/italian-food/how-to-cook/cacio-e-pepe-guide-to-cook
Source: https://www.lacucinaitaliana.com/recipe/pasta/spaghetti-cacio-e-pepe

""If you let it rest or cool, the soft cream will become a sticky mixture that will trap the pasta. So prepare it only when you can eat it immediately.""","Vegetarian,Halal","Entree,Side",30 min,,,
Cajun Seasoning,Cajun,,"1 tsp oregano,1 tsp thyme,2 tsp cayenne,2 tsp onion powder,2 tsp garlic powder,1 tsp salt,2 tsp paprika,1 tsp black pepper","Directions:
In a small bowl, combine 1 tsp black pepper, 2 tsp paprika, 1 tsp salt, 2 tsp garlic powder, 2 tsp onion powder, 2 tsp cayenne, 1 tsp thyme, and 1 tsp oregano.
",,"Paleo,Halal",Condiment/Topping,,,9.0,10.0
Calabrian Carbonara,Italian,,,,https://www.foodandwine.com/recipes/calabrian-carbonara,,Entree,,,,
Calzoni di Castagne (Chocolate Chestnut Dumplings),Italian,,,,"https://www.buonissimo.it/lericette/5708_Calzoni_di_castagne
https://blog.giallozafferano.it/annacreazioniincucina/calzoncelli-di-castagne/
https://www.shelovesbiscotti.com/chestnut-cookies/",Vegetarian,"Dessert,Pastry",,,,
Cannellini Bean Casserole with Smoked Mozzarella,Italian,,,,,,,,,,
Cannelloni,Italian,,,,,,Entree,,,,
Cannoli Cake,Italian,,,"3 ¼ cups sifted cake flour
1 tbsp baking powder
¾ tsp salt
1/2 tsp cocoa powder 
1 tsp cinnamon
6 large egg whites
14 tbsp unsalted butter, softened
2 tbsp safflower oil
1 ½ cups sugar
1 tbsp marsala
2 tsp fiori di Sicilia OR vanilla extract
10 oz whole milk 

Prep:
In a medium-sized mixing bowl, combine 1/2 tsp cocoa powder, 1 tsp cinnamon, 3/4 tsp salt, 1 tbsp baking powder, and 3.75 cups sifted cake flour. Set aside.

Separate 6 eggs, putting the egg whites in a small bowl and discarding the yolks (or saving them to use in another recipe).

FOR CUPCAKES, grease the cups of 2 muffin tins. Sprinkle each cup lightly with flower.

FOR CAKE, grease 2 9-inch round cake pans. Line with waxed paper. Grease and flour the waxed paper.

Directions:
In a large mixer bowl, cream the 14 oz butter with the 2 tbsp safflower oil. Gradually add 1.5 cups sugar. 

At this point, preheat the oven to 350 degrees.

Reduce the speed to low, and add the egg whites one at a time. Beat in 1 tbsp marsala. Then, add either 2 tsp Fiori di Sicilia OR 2 tsp vanilla extract, if you don't have the former.

In a 2-cup liquid measuring cup, measure 10 oz whole milk. Beginning and ending with the DRY ingredients, alternately add the flour mixture and the milk in thirds. 

Scrape the batter into prepared pans. 

FOR CAKE, bake 25-30 minutes. Let cool on racks for 30 min. Then, loosen edges with a knife before unmolding. Finally, let cool completely on rack.

FOR CUPCAKES, bake for 16-20 min, turning the pans half-way through.","White Cake

FOR FROSTING: https://www.lacucinaitaliana.com/recipe/cakes-and-desserts/sicilian-cannoli",Vegetarian,Dessert,,,,
Cannoli Cream,Italian,,,"2 1/3 CUPS of sheep ricotta (or simply whole milk ricotta)
1 1/2 CUPS of powdered sugar
1/3 CUP of cup chocolate chips
1 tbsp Fiori di Sicilia

Directions: 
Beat 2 1/3 cups sheep ricotta with a whisk until soft. Add 1.5 cups powdered sugar and whisk until creamy. Thoroughly mix in 1 tbsp Fiori di Sicilia or orange blossom water. 

Stir in 1/3 cup chocolate chips.","Source: https://www.lacucinaitaliana.com/recipe/cakes-and-desserts/sicilian-cannoli

NOTE: Can substitute Fiori di Sicilia with orange blossom water
","Vegetarian,Halal",Dessert,,,,
Caramel Cream Cheese Frosting,American,,,"1/2 large vanilla bean or 1.5 tsp vanilla extract
1 cup sugar
6 ounces butter, softened
2 tablespoons heavy cream
1 pound cream cheese, cut into 2"" cubes

Prep:
Soften the butter and cream cheese.

Directions:

______
Split open the vanilla bean and scrape out the seeds.  Put the bean and seeds in a medium but deep saucepan.  Add the sugar.  Cook over high heat, stirring continuously, until the sugar is dissolved. Stir continuously over moderate heat until a medium-light amber caramel forms, about 10 minutes.
--- need to add a little water with the sugar or it will turn into a ROCK

Remove from the heat.  Drizzle in the heavy cream 1/4 teaspoon at a time, stirring until well-mixed after each addition. It will both bubble up A LOT when you stir in the cream. If you add all the cold cream immediately, the caramel will harden! 

Stir in 6 oz softened butter until melted.  (Don't worry if the butter separates.)  Discard the vanilla bean.

Immediately transfer the caramel to the large bowl of a mixer and beat with the whisk attachment at low speed until the caramel cools slightly and comes together, about 5 minutes.  With the machine on, beat in the cream cheese, 1 cube at a time and beating well between additions, until silky.  

If necessary, refrigerate until firm enough to spread.
","https://docs.google.com/document/d/1UpGfayiaaYcmSq3QezifmMdJWb1XmGho/edit

If the caramel hardens too much, pour in some water and boil it on high. The caramel will melt. Boil off the water till it reaches a creamy consistency.","Halal,Vegetarian",Dessert,,cream_cheese_frosting.jpg (https://dl.airtable.com/.attachments/95ec5a0d1ab1ef7b9593a38b16f514ba/e62fca12/cream_cheese_frosting.jpg),10.0,
Caramelized Onions,French,,,"Halve both onions through root end. Using the tip of your knife, cut a V-shaped notch around root to remove it (this will ensure that all slices separate when you cut the onion).

Place 1 onion half on your cutting board so root end is facing you, then thinly slice onion lengthwise, starting at one side and working all the way to the other (so your knife runs through the root halfway through, not starting or ending at the root end). You’re going for slices that are ¼""–⅛"" thick.

Repeat same slicing procedure for remaining onion halves. It’s a lot of onion! But it will cook down quite a bit, so it’s best to start with a large quantity.

Heat 2 Tbsp. butter in a large saucepan over medium until melted and sizzling. You can use a skillet to cook the onions, but a pan with high sides will keep the onions from flipping out onto your stove. Using a pan that also has a wide base gives water room to evaporate, allowing the onions to caramelize rather than steam.

Instead of dumping in all of the onions at once, which would fill the pot and make it hard to stir (which would then cause the ones on the bottom to cook faster), start by adding just a couple of large handfuls to the pot. Cook, stirring, until onions are soft and starting to turn translucent, 1–2 minutes. Stir in a few more handfuls of onion and repeat cooking and stirring process until you’ve added all the onions. Season with a pinch of salt.

Reduce heat to medium-low and continue to cook onions, stirring every few minutes to prevent them from sticking and coloring too much in any one place, until blonde-colored, 15–20 minutes. This is the point of doneness for French onion soup! If you feel like onions are getting too brown around the edges or they’re sticking, reduce your heat a bit.

If you’re going for onions that are both softer and more caramelized (say for a patty melt or onion dip), keep cooking, stirring regularly, until onions are unmistakably golden brown, another 15–20 minutes. Because most of the water has cooked off at this point, there might be some bare spots where the pot could start to burn. If this happens, stir in a splash of broth or water. The liquid will dissolve the cooked-on bits, which the onions will re-absorb.

For extra-dark onions, the kind that make a great burger topping, cook until they start to almost blacken around the edges and go slightly crisp, another 10–15 minutes. This requires constant attention so they don’t burn!

Let onions cool in the saucepan, then use or transfer to an airtight container and chill. They will keep up to 1 week.",,Vegetarian,,,"BAP_Basically_Carmelized-Onions_STEP_06.mp4.mp4 (https://dl.airtable.com/.attachments/ea806846c03fca434d85125dd27661e4/9744a03f/BAP_Basically_Carmelized-Onions_STEP_06.mp4.mp4),BAP_Basically_Carmelized-Onions_STEP_07.mp4.mp4 (https://dl.airtable.com/.attachments/bd13b9f85ccb7991716e31bf813ffee9/034615f7/BAP_Basically_Carmelized-Onions_STEP_07.mp4.mp4),BAP_Basically_Carmelized-Onions_STEP_08.mp4.mp4 (https://dl.airtable.com/.attachments/45d4d2073cc7441ad5e908d576e23508/dfd86f8c/BAP_Basically_Carmelized-Onions_STEP_08.mp4.mp4)",,
Celery Walnut Gratin,French,,,"2 celery heads, trimmed
50g butter
1 onion, thinly sliced
2 bay leaves
100g breadcrumb
50g walnut

, roughly chopped
75ml white wine
250ml vegetable or chicken stock
100ml double cream
25g grated parmesan

 (or vegetarian alternative)",Source: https://www.bbcgoodfood.com/recipes/creamy-celery-gratin,Vegetarian,Appetizer,,,,
Chai Masala,Indian/Bangali,,"14 oz condensed milk,4 cups water,4 tbsp black leaf tea,1  cinnamon stick(s),4  cloves (whole),6  black peppercorns,8  cardamom pods","Prep:
Boil 4 cups of water.

Directions:
Lightly crush the following whole spices separately – 8 cardamom pods, 6 black peppercorns, and 4 whole cloves. 

To the boiling water, add 4 tbsp black leaf tea, 1 cinnamon stick, and the crushed whole spices. Stir and bring back to a full boil.

Then, turn the heat down and let it simmer for 5-8 minutes. There should be small bubbles, but be careful not to let it boil over. Stir regularly.

Next, mix in 14 oz of sweetened condensed milk, bring it back to a simmer, and let it continue for another 2-4 min. 

Pour the tea through a fine mesh sieve to catch the tea and the crushed spices. Serve with cake rusk, bakarkhani cookies, or digestive biscuits, if desired.
","Adapted from: p. 274 of ""My Bangladesh Kitchen"" by Saira Hamilton

NOTE: 4 tbsp black leaf tea equals 4 tea bags",Halal,Drink,,,,
Cheesecake,Greek,12,"3 cups sour cream,0.25 tsp salt,1.5 tsp vanilla extract,2 tbsp lemon juice,3  egg(s),1 tbsp cornstarch,1 cup sugar,16 oz cream cheese,6 tbsp butter (unsalted),4 tbsp Dutch-processed cocoa powder,3 tbsp sugar,3 tbsp light brown sugar,1.25 cups Nabisco chocolate wafers","* Requires overnight preparation

Prep:
Cover the outside bottom and sides of a 9 x 2 1/2-inch spring-form pan with a double thickness of aluminum foil.  Grease the pan with butter or cooking spray. Line the bottom with a round of waxed paper; grease the waxed paper. Take out a second pan large enough to fit the first one in.

In the food processor, grind ~30 Nabisco chocolate wafers. Measure out 1 ¼ cups of the crumbs, and add that amount back into the food processor. (Save any leftover crumbs for sprinkling on top of the cheesecake if desired.) Mix in 3 tbsp sugar, 3 tbsp brown sugar, and 4 tbsp cocoa powder. Next, add 6 tbsp MELTED butter and pulse until the mixture forms coarse crumbs. 

Press the dough into an even layer over the bottom of the prepared pan. Refrigerate until the cheesecake batter is ready.

Fill a teapot with water and turn on the heat.  Preheat the oven to 350 degrees.

Directions:
In a large mixer bowl, beat the softened cream cheese until smooth.  Slowly beat in the 1 cup sugar. Then cream the cheese and sugar for 7 - 10 minutes until smooth and silky. Make sure to scrape the very bottom of the bowl so that any cream cheese stuck to the bottom does not come out unmixed later on. 

Next, beat in the cornstarch.  One at a time, add the 3 eggs, beating after each addition.  Mix in the 2 tbsp lemon juice, 1.5 tsp vanilla, and 1/4 tsp salt. Put the sour cream in a medium bowl and whisk it by hand until smooth.  Also by hand, gently fold it into the batter.

Pour the batter into the prepared pan. Place the spring-form pan in the larger pan, and put them in the oven.  Carefully fill the larger pan with boiling water from the teapot, until it reaches about halfway up the sides of the spring-form pan. Bake for 55-60 minutes.

LEAVING THE OVEN DOOR CLOSED, turn off the oven and leave the cheesecake inside for 1 hour.  Remove from the oven and take it out of the pan of water.  Remove the aluminum foil wrap. Put on a rack and let the cheesecake cool at room temperature for 3 hours. Cover with plastic wrap and **refrigerate overnight.**

Remove the sides of the pan. Cover the top of the cheesecake with plastic wrap.  Invert onto a flat plate.  Remove the bottom of the spring-form pan and the waxed paper.  Invert onto a serving dish.  Remove the plastic wrap. Serve chilled.",,"Halal,Vegetarian","Dessert,Cake",,"IMG_4985.png (https://dl.airtable.com/.attachments/465f1cf627600b2fc303f9459cf6a9e8/bd9fee8c/IMG_4985.png),cheesecake1.jpg (https://dl.airtable.com/.attachments/1f2a0c629e90c58086be5648028d1463/079f8151/cheesecake1.jpg)",10.0,10.0
Chicken Croquettes,French,3,"1 cup olive oil,1 cup white bread crumbs,2  egg(s),0.75 cup milk,0.25 cups flour,  salt to taste,  pepper to taste,0.5 tsp nutmeg,2 tbsp olive oil,2 tbsp butter (unsalted),4 oz prosciutto,0.5 lb chicken breasts","Prep:
Bake and mince 2 cups of chicken. Mince the prosciutto and mix with the minced chicken.

Main:
In a large non-stick skillet, melt the butter in the olive oil.  Add the chicken, prosciutto, nutmeg, salt and pepper. Cook 3 minutes at a moderate temp.

Stir in the 1/4 cup flour and then gradually stir in the 3/4 cup milk.  Simmer, stirring, for 3 minutes. Scrape into a bowl. Cool to room temp and then refrigerate at least 1 hour.

In a shallow bowl, beat the eggs with 2 tbsp milk.  Place the dry bread crumbs in another shallow bowl. Put 1 cup flour in a third bowl.  Using wet hands, roll the chicken mixture into 12 equal, oval croquettes.   Dredge each croquette in flour, followed by egg, followed by breadcrumbs. Transfer to a platter.

In a medium saucepan, heat 2"" vegetable oil.  Fry the croquettes, 4 at a time, turning once for a total of 6 minutes.  Aim for a golden brown.  If the croquettes get too dark, lower the heat.",,Halal,Entree,,IMG_0149.JPG (https://dl.airtable.com/.attachments/5416e0b591f4214c659a8833bfe9c996/502746dd/IMG_0149.JPG),9.0,
Chicken Dak Bulgogi,Asian,4,"1  onion(s),2 tbsp light brown sugar,1 tbsp rice wine,2 tsp ginger (fresh grated),2 tsp sesame oil,2 tsp sesame seeds,1 cup soy sauce,1 tbsp chili paste,4 cloves garlic,  pepper to taste,1 lb chicken breasts,1  pear","Prep:
Cut the chicken breasts into thin, medium-sized pieces so that they can get a nice sear on the grill. Tenderize the chicken before marinating.

Chop the onion, grate the fresh ginger, and peel and mince the pear.

Main:
Mix the soy sauce, chili paste or hot sauce, onion, pear, brown sugar, rice wine, garlic, sesame oil, ginger, a few generous turns of black pepper, and sesame seeds in a large zip-top freezer bag.

Put the chicken in the plastic bag with the marinade, press excess air out of the bag, seal it closed, and massage it so the marinade covers the chicken. Refrigerate the bag for several hours or overnight to marinate the chicken.

To cook, heat your grill or skillet to high heat and add a bit of of the marinate to help avoid sticking. Lay the chicken pieces flat on the hot grill or skillet. Flip the chicken once the bottom is well-seared, and cook them another few mins. Ensure the meat is cooked all the way through. You can baste the chicken with any leftover marinade while grilling. The total cooking time will be ~5 minutes.","Adapted from Koreatown: A Cookbook by Deuki Hong and Matt RodbardIf.

https://www.davidlebovitz.com/chicken-bulgogi-dak-korean-recipe/",Paleo,Entree,,,,
